DANY STAR,DeeJay,,,,,
DANIEL WEST,,,MEMO vba:,https://www.youtube.com/@eris-excel/featured,,
LUCAS BERRY,,,,https://wordmvp.com/FAQs/InterDev/ControlWordFromXL.htm,,
,,,,,,
X,Select,,,,,
,,,,,,
,,,,,,
BASE,Livello,,OPEN SPACE,,,
INTERMEDIO,,,BUFFALO GRILL,,,
AVANZATO 1,,,ORATORIO DI ALBANO SANT'ALESSANDRO,,,
AVANZATO 2,,,ORATORIO DI BRIGNANO,,,
SUPER AVANZATO 1+2,,,ORATORIO DI GORLE,,,
SUPER AVANZATO 3,,,ORATORIO DI SERIATE,,,
GOLD,,,ORATORIO DI,,,
ALTRE COREO,,,ORATORIO DI,,,
,,,ORATORIO DI,,,
,,,ORATORIO DI,,,
COPPIA,info coreo 1,,ORATORIO DI,,,
3 PERSONE,,,ORATORIO DI,,,
4 PERSONE,,,ORATORIO DI,,,
TWO STEP,,,ORATORIO DI,,,
HALLOWEEN,,,ORATORIO DI,,,
NATALIZIA,,,FIERA DI TEVIGLIO,,,
STAGE,,,FIERA DI BERGAMO - SANT'ALESSANDRO,,,
TRE PERSONE,,,,,,
CONTRA,,,,,,
SIGLA CHIUSURA,,,,,,
,,,,,,
,,,,,,
CERCHIO,info coreo 2,,,,,
CONTRA,,,,,,
DOPPIA COREO,,,,,,
TRIPLA COREO,,,,,,
ESTATE 2021,,,,,,
ESTATE 2022,,,,,,
ESTATE 2023,,,,,,
ESTATE 2024,,,,,,
ESTATE 2025,,,,,,
STAGE,,,,,,
SIGLA CHIUSURA,,,,,,
,,,,,,
,,,,,,
BASE ESTIVO 2021,studiate,,,,,
BASE ESTIVO 2022,,,,,,
BASE ESTIVO 2023,,,,,,
INTERMEDIO ESTIVO 2021,,,,,,
INTERMEDIO ESTIVO 2022,,,,,,
INTERMEDIO ESTIVO 2023,,,,,,
AVANZATO ESTIVO 2021,,,,,,
SUPER AVANZATO ESTIVO 2021,,,,,,
SUPER AVANZATO ESTIVO 2022,,,,,,
SUPER AVANZATO ESTIVO 2023,,,,,,
STUDIATA,,,,,,
RECENTE,,,,,,
,,,,,,
,,,,,,
LINE DANCE,E,LISTA,,LINE DANCE,E,A-Z
CONTRA DANCE,F,,,CONTRA DANCE,F,
COUPLE/CIRCLE DANCE,G,,,COUPLE/CIRCLE DANCE,G,
empty,H,,,empty,H,
David Villelas,I,,,David Villelas,I,
Fabio Terzoni,J,,,Fabio Terzoni,J,
Gianni Hook Valassi,K,,,Gianni Hook Valassi,K,
Isabella Ghinolfi,L,,,Isabella Ghinolfi,L,
Johnny Rossato,M,,,Johnny Rossato,M,
Pino Piromalli,N,,,Pino Piromalli,N,
Pol F. Ryan,O,,,Pol F. Ryan,O,
Teo Lattanzio,P,,,Teo Lattanzio,P,
Stefano Civa,Q,,,Stefano Civa,Q,
Valery Bourgeois,R,,,Valery Bourgeois,R,
Algaly Fofana,S,,,Algaly Fofana,S,
Adriano Castagnoli,T,,,Adriano Castagnoli,T,
Neus Lloveras,U,,,Valentina Trigila,U,
,,,,Sofia Balzano,V,
,,,,Deborah Ricagni,W,
,,,,Coreo con iniziale numerica,Y,
,,,,empty,H,
,,,,Coreo A-F,Y,
,,,,Coreo G-M,Z,
,,,,Coreo N-Z,AA,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Legenda Moduli:,,,,,,
,,,,,,
Richiesta Coreografie (Risposte)      da Google Drive,,,,,,
,,,,,,
legenda,,,https://docs.google.com/spreadsheets/d/e/2PACX-1vSwq4gN9cMOROQLIbXesheYdbR56GsgMNwqj_hxesQkFOIFi0W7c-qGH4oXmNGPakderUYU3FksnBFM/pubhtml?gid=178613993&single=true,,,
,,,,,,
Modulo 2,DJ SET,,https://docs.google.com/spreadsheets/d/e/2PACX-1vSwq4gN9cMOROQLIbXesheYdbR56GsgMNwqj_hxesQkFOIFi0W7c-qGH4oXmNGPakderUYU3FksnBFM/pubhtml?gid=1341518811&single=true,,,
Modulo 3,DJ DANIEL WEST,,https://docs.google.com/spreadsheets/d/e/2PACX-1vSwq4gN9cMOROQLIbXesheYdbR56GsgMNwqj_hxesQkFOIFi0W7c-qGH4oXmNGPakderUYU3FksnBFM/pubhtml?gid=2000944380&single=true,,,
Modulo 4,DJ SET (c/elenchi),,https://docs.google.com/spreadsheets/d/e/2PACX-1vSwq4gN9cMOROQLIbXesheYdbR56GsgMNwqj_hxesQkFOIFi0W7c-qGH4oXmNGPakderUYU3FksnBFM/pubhtml?gid=857542386&single=true,,,
Modulo 5,DJ LUCAS BERRY,,https://docs.google.com/spreadsheets/d/e/2PACX-1vSwq4gN9cMOROQLIbXesheYdbR56GsgMNwqj_hxesQkFOIFi0W7c-qGH4oXmNGPakderUYU3FksnBFM/pubhtml?gid=1295721878&single=true,,,
Modulo 6,DJ DANY STAR,,https://docs.google.com/spreadsheets/d/e/2PACX-1vSwq4gN9cMOROQLIbXesheYdbR56GsgMNwqj_hxesQkFOIFi0W7c-qGH4oXmNGPakderUYU3FksnBFM/pubhtml?gid=164488977&single=true,,,
Modulo 7,,,https://docs.google.com/spreadsheets/d/e/2PACX-1vSwq4gN9cMOROQLIbXesheYdbR56GsgMNwqj_hxesQkFOIFi0W7c-qGH4oXmNGPakderUYU3FksnBFM/pubhtml,,,
Modulo 8,DJ DANIEL WEST LISTA,in uso,https://docs.google.com/forms/d/1HfSXBECjlmS0w1VHSmjoswG0z73fp0ht0ZkK5di7U1c/edit,,,
Modulo 9,,,,,,
Modulo 10,,,,,,
Modulo 11,,,,,,
Modulo 12,DJ DANIEL WEST A-Z,in uso,https://docs.google.com/forms/d/e/1FAIpQLSdzlRn6KDVr81MaWIaGAO4alXixT3znSHLJIA6y6uSPJ9eVVA/viewform?usp=header,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Elenco Coreo (statico)      da Google Drive,,,,https://docs.google.com/spreadsheets/d/1vWgzzwSHL2hK9RGvP87sCy_AtGGNTcDRM-h85bIpMMM/edit?gid=0#gid=0,,
,,,,,,
Link intero file ,,web,https://docs.google.com/spreadsheets/d/e/2PACX-1vSIWNXGEtjw9_NFLw-ZjdQhi3i-2pRWoH5vsYE3rN25r9bjsrdLGvgNbaDdKkDO6QbXbrBSFPqWHJwL/pubhtml,,,
,,xls,https://docs.google.com/spreadsheets/d/e/2PACX-1vSwq4gN9cMOROQLIbXesheYdbR56GsgMNwqj_hxesQkFOIFi0W7c-qGH4oXmNGPakderUYU3FksnBFM/pub?output=xlsx,,,
,,,,,,
,,,,,,
Link Richiesta Coreo - Mod. 2,,,https://docs.google.com/spreadsheets/d/1_h0Vc5DhZdPyvPR1a6lS6siiIuNZ0vJbpMQZ4yvnY60/edit?usp=sharing,,,
,,,,,,
,,,,,,
E,COLONNE MODULO 8,,#REF!,"Funzione alternativa da inserire in colonna G del Borderò; ATT.NE: da modificare perché nelle celle vuote inserisce ""Richiesta"" => aggiungere controllo",,
F,,,,,,
G,,,,,,
I,,,,,,
J,,,,,,
K,,,,,,
L,,,,,,
M,,,,,,
N,,,,,,
O,,,,,,
P,,,,,,
Q,Monitor: ,0,,HP HD Camera,,
,,,,,,
GetCameraName,Codifica,dshow-size,dshow-fps,ELENCO WEBCAM,,
USB Camera,yuyv422,1920x1080,30,Luca - USB Camera,,
HP Display Camera,yuyv422,640x360,30,Luca - Monitor HP,,
Fotocamera frontale,yuyv422,640x360,30,Luca - Elitebook ERRORE,,
HP HD Camera,yuyv422,640x360,30,Luca - Elitebook,,
GRANDSTREAM GUV3100,yuyv422,320x180,30,Luca - GrandStream ERRORE,,
OBS Virtual Camera,yuyv420,1280x720,30,Luca - software,,
HP IR Camera,,,,Luca - ??? ERRORE,,
Trust Webcam,yuyv422,640x480,30,Daniele - (Videocamera vecchia) USB TRUST,,
Wireless webcam,yuyv422,1920x1080,30,Daniele - (Nuova wireless) TOALLIN WL168,,
CyberLink Webcam Splitter,,,,,,
HP TrueVision HD Camera,yuyv422,640x360,30,Daniele - frontale PC Windows,,