Colonna 1;Colonna 2;ID;coreografia;brano;autore;richieste;info livello;info coreo 1;info coreo 2;studiate;coreografo;collaboratori;descrizione coreo
;;394;TAG ON;too strong to break;beccy cole;;AVANZATO 1;;;STUDIATA;David Villelas;;64 conteggi 2 muri [restart al 3° muro dopo 24 counts ed al 6° muro dopo 32 counts]
;;395;TAKE ME TO NEW YORK;long live the night;the reklaws;;AVANZATO 1;;;RECENTE;Johnny Rossato;;32 conteggi 4 muri [1 muro Tag1 2 muro 3 muro Tag2 4 muro Tag1 5 muro 6 muro 7 muro Tag1+Tag2 8 muro Tag2 9 muro 10 muro]
;;396;TH-GUEST RANCH;girl with the fishing rod;lisa mchugh;;AVANZATO 2;;;;Jesus Osuna;;64 conteggi 2 muri 4 restart
;;397;THE BEAST;somethin' in the water;the cheap seats;;SUPER AVANZATO 1+2;;;;;;
;;398;THE COUNTRY FEVER;anywhere for you;mackenzie porter;;ALTRE COREO;;;;;;
;;399;THE DIFFERENCE;the difference;carolina jones;;ALTRE COREO;;;;;;
;;400;THE LOVERS;year of the young;smith & thell;;ALTRE COREO;;;;Johnny Rossato;;
;;401;THE STORY;the story of us;taylor swift;;ALTRE COREO;;;;;;
;;402;THE WISH;fall into you;houses on the hill;;AVANZATO 2;;;;Pol F. Ryan;Francesca Penzo;64 conteggi 2 muri 3 restart
;;403;THE WORLD;the world;brad paisley;;AVANZATO 2;;;;Maggie Ghallager;;64 conteggi 4 muri
;;404;THELMA & LOUISE;thelma and louise;anna bergendahl;;AVANZATO 1;;;;Stefano Civa;Johnny Rossato;32 conteggi 2 muri 3tag Intro e Finale
;;405;THERE IS A FIRE;there is a fire;national park radio;;ALTRE COREO;;;;;;
;;406;THINK OF YOU;think of you;chris young;;ALTRE COREO;;;;Pino Piromalli;;32 conteggi 4 muri
;;407;THIS WORLD IS OUR HOME;this world is our home;douwe bob;;AVANZATO 2;;;STUDIATA;Johnny Rossato;Fabian Muller;32 conteggi 2 muri 4 restart (al 1° 2° e 5°  muro dopo 28 conteggi) (al 4° muro dopo 16 conteggi)
;;408;THREE TEACHERS;head over heels;the washboard union;;BASE;;;RECENTE;David Villelas;Araceli Capitan & Montse;32 conteggi 4 muri 2 restart  (dopo il 4° e 11° muro dopo 24 counts) 1 tag (4 conteggi di pausa 11° muro)
;;409;THROWBACK LOVE;throwback love;meghan trainor;;SUPER AVANZATO 3;;;;;;
;;410;TICK TOCK;1 2 mary;brooks & dunn;;ALTRE COREO;;;;;;
;;411;TO BE HONEST;rude;sorbye jennebo;;SUPER AVANZATO 3;;;;Federica Dall'Aglio;;
;;412;2 HELL AND BACK;if you're going through hell;rodney atkins;;INTERMEDIO;;;RECENTE;Rob Fowler;Kate Sala;32 conteggi 2 muri
;;413;TODAY & TOMORROW;country roads;holly spears;;AVANZATO 2;;TWO STEP;;Silvia Denise Staiti;;64 conteggi 1 Tag 1 Restart
;;414;TOES;toes;zac brown band;;INTERMEDIO;;;STUDIATA;Rachael McEnaney;;32 conteggi 4 muri
;;415;TOMORROW NEVER COMES;tomorrow never comes;zac brown band;;AVANZATO 1;;;;Fabio Terzoni;;46 conteggi 2 muri (Parte A 32 counts Parte B 14 counts) Tag 4 counts 2 restart
;;416;TOO MANY DRUNK;i hate you when you're drunk;olly murs;;AVANZATO 2;;;;Sandrine Caracchioli;Chantal Levallois;56 conteggi 4 muri
;;417;TOP OF THE WORLD;on top of the world;tim mcmorris;;ALTRE COREO;;;;Teo Lattanzio;;
;;418;TORNADO;tornado;little big town;;ALTRE COREO;;;;;;
;;419;TOUR IN MEXICO;go to mexico;coffey anderson;;AVANZATO 1;;;STUDIATA;Adriano Castagnoli;;52 conteggi 2 muri [Parte A 32 counts Parte B 20 counts] Sequenza (2 volte A 1 Volta B) (4 volte A 1 volta B) (3 volte A 1 volta B) (3 volte A 1 volta B) 
;;420;TRAIN;train;manny blu;;ALTRE COREO;;;;Gianni Hook Valassi;;
;;421;TRAKTOR'S BELL;she cranks me traktor;dustin lynch;;ALTRE COREO;;;;;;
;;422;TRAMPOLINE;trampoline;the unlikely candidates;;ALTRE COREO;;;;;;
;;423;TRESPASSING;trespassing;adam lambert;;ALTRE COREO;;;;;;
;;424;TRILOGY;old dirt roads;owen riegling;;SUPER AVANZATO 1+2;;;STUDIATA;Jgor Pasin;;
;;425;TRIPLE L;live laugh and love;lonestar;;SUPER AVANZATO 3;;;STUDIATA;Jeremie Tridon;Brigitte Zerah Audrey Gendre;72 conteggi 1 Tag (dopo 16 conteggi)
;;426;TUSH PUSH;don't know why i do it;mark chesnutt;;BASE;CERCHIO;;STUDIATA;Jim Ferrazzano;;40 conteggi 4 muri
;;427;TUSH PUSH;honky tonk twist;scooter lee;;BASE;CERCHIO;;STUDIATA;Jim Ferrazzano;;40 conteggi 4 muri
;;428;TUSH PUSH;santa looked a lot like daddy;brad paisley;;BASE;CERCHIO;NATALIZIA;STUDIATA;Jim Ferrazzano;;40 conteggi 4 muri
;;429;TUSH PUSH;splish splash;scooter lee;;BASE;CERCHIO;;STUDIATA;Jim Ferrazzano;;40 conteggi 4 muri
;;430;TUSH PUSH;t r o u b l e;travis tritt;;BASE;CERCHIO;;STUDIATA;Jim Ferrazzano;;40 conteggi 4 muri
;;431;TWO WAYS;we didn't have much;justin moore;;ALTRE COREO;;;;;;
;;432;UNTAMED;untamed;cam;;AVANZATO 1;;;STUDIATA;Alessandro Boer;;32 conteggi 4 muri (Tag1 al 2^ muro dopo 20 counts) (Tag2 al 6^ muro dopo 20 counts) (Tag3 al 9^ muro dopo 16 counts) [Restart al 4^ muro dopo 8 conteggi]


;;433;URBAN LIFE;better life;keith urban;;BASE;CONTRA;;STUDIATA;A T  Joven;;32 conteggi 2 muri [contra dance]
;;434;URBAN LIFE;gotta be somebody;nickelback;;BASE;CONTRA;;STUDIATA;A T  Joven;;32 conteggi 2 muri [contra dance]
;;435;URBAN LIFE;gotta be somebody;bucky covington;;BASE;CONTRA;;STUDIATA;A T  Joven;;32 conteggi 2 muri [contra dance]
;;436;VODKA TIME;vodka time;urban trad;;ALTRE COREO;;;;;;
;;437;WACKY;cut loose;blue broussard band;;ALTRE COREO;;;;;;
;;438;WAHO WAHO YEAH YEAH;if that ain't love;jaida dreyer;;ALTRE COREO;;;;;;
;;439;WALKIN' THE LINE;4th of july;shooter jennings;;BASE;;;RECENTE;Unknown;;26 conteggi 4 muri
;;440;WALKIN' THE LINE;breathless;the corrs;;BASE;;;RECENTE;Unknown;;26 conteggi 4 muri
;;441;WALKIN' THE LINE;crazy;alee;;BASE;;;RECENTE;Unknown;;26 conteggi 4 muri
;;442;WALKIN' THE LINE;walk the line;dave sheriff;;BASE;;;RECENTE;Unknown;;26 conteggi 4 muri
;;443;WALKIN' THE LINE;wild angels;martina mcbride;;BASE;;;RECENTE;Unknown;;26 conteggi 4 muri
;;444;WANNA GETCHA;getcha;matt lang;;ALTRE COREO;;;;;;
;;445;WANNA GO;if it gets you where you wanna go;dallas smith;;ALTRE COREO;;;;;;
;;446;WE ARE TONIGHT;we are tonight;billy currington;;INTERMEDIO;;;STUDIATA;Dan Albro;;32 conteggi 4 muri
;;447;WE DANCED;dirt on my boots;jon pardi;;ALTRE COREO;COPPIA;CERCHIO;;;;
;;448;WE WENT;we went;randy houser;;BASE;;;RECENTE;Kristina Kovatch;;24 conteggi 4 muri
;;449;WESTERN SHOW;young love & saturday nights;chris young;;SUPER AVANZATO 1+2;;;;Pol F. Ryan;Algaly Fofana Johnny Rossato;
;;450;WESTERN STYLE;can't get myself over getting over you;the woolpackers;;BASE;COPPIA;CERCHIO;RECENTE;;;(couple and circle)
;;451;WESTERN STYLE;louisiana;the woolpackers;;BASE;COPPIA;CERCHIO;RECENTE;;;(couple and circle)
;;452;WESTERN STYLE;no one needs to know;shania twain;;BASE;COPPIA;CERCHIO;RECENTE;;;(couple and circle)
;;453;WESTERN STYLE;tell me why;wynonna judd;;BASE;COPPIA;CERCHIO;RECENTE;;;(couple and circle)
;;454;WHAT DO I KNOW;what do i know;ricochet;;ALTRE COREO;;;;Gianni Hook Valassi;;
;;455;WHEN YOU SMILE;when you smile;rune rudberg;;ALTRE COREO;;;;;;
;;456;WHISKEY WHISKEY;1 2 3 4 ;alan doyle;;ALTRE COREO;STAGE;;;;;
;;457;WHISKEY WIGGLE;every little thing;carlene carter;;INTERMEDIO;COPPIA;CERCHIO;STUDIATA;Joyce Warren;;48 conteggi [coppia cerchio]
;;458;WHITE SOLDIER;when i'm gone;the wild horses;;INTERMEDIO;;;RECENTE;Pol F. Ryan;Johnny Rossato;32 conteggi 2 muri (1°tag di 16 counts alla fine del 3 muro) (2°tag di 8 counts alla fine del 7 muro)
;;459;WILD AT HEART;wild at heart;gloriana;;ALTRE COREO;;;;;;
;;460;WILD NIGHTS;wild night;martina mcbride;;INTERMEDIO;;;RECENTE;Dan Albro;;64 conteggi 4 muri
;;461;WILLIWAW;one of a kind;nasco brothers;;ALTRE COREO;;;;Pol F. Ryan;;
;;462;WOBBLE;wobble;v i c;;ALTRE COREO;STAGE;;;;;
;;463;WOMAN AMEN;woman amen;dierks bentley;;ALTRE COREO;;;;;;
;;464;WONDER;memory lane;old dominion;;AVANZATO 2;;;STUDIATA;Pol F. Ryan;Laura Jones;72 conteggi 2 muri
;;465;WOOD LEG STOMP;doreen;kerosene brothers;;SUPER AVANZATO 1+2;;;;;;
;;466;YA COME DOWN;wont't ya come down;derek ryan;;AVANZATO 1;;;;Teo Lattanzio;;64 conteggi 2 muri 1 tag 1 restart
;;467;YABOY;long time gone;nathan carter;;ALTRE COREO;;;;;;
;;468;YELLOWSTONE;right about now;curtis grimes;;SUPER AVANZATO 1+2;;;;;;
;;469;YES;yes;chad brock;;BASE;;;RECENTE;Jerome Massiasse;;32 conteggi 4 muri 1 tag alla fine del 4° muro
;;470;YOU GET IT;ready to go;bryce pallister;;ALTRE COREO;;;;;;
;;471;ZANZARE;no hard feelings;old dominion;;ALTRE COREO;;;;David Villelas;Pol F. Ryan;64 conteggi 2 muri 2 restart tags and final
;;472;ZJOZZYS FUNK;bacco perbacco;zucchero fornaciari;;INTERMEDIO;;;;Petra Van de Velde;;32 conteggi 2 muri
;;473;ZORBA;zorba's dance;lcd;;ALTRE COREO;;;;;;
;;474;MIRACLE;miracle;tors;;SUPER AVANZATO 1+2;;;;Teo Lattanzio;;
;;475;TIPPIN' IT UP;tippin’ it up to nancy;sean magee;;INTERMEDIO;;;RECENTE;Gary O'Reilly;;32 conteggi 4 muri (Tag ripetuto alla fine del 1° 4° 7° e 10° muro)
;;476;CHA CHA COUNTRY;your man;josh turner;;ALTRE COREO;;;;;;
;;477;WANDERLUST;buzzkill;lanie gardner;;AVANZATO 2;;;;Neus Llioveras;;32 conteggi 2 muri tag di 8 conteggi al 1° e al 5° muro dopo 24 counts al 10° muro finale con lento full turn a sinistra
;;478;CHANGING DANCE BARN DANCE;feliz navidad;josè feliciano;;BASE;COPPIA;CERCHIO;STUDIATA;;;(couple and circle)
;;479;LOVE SOMEBODY;love somebody;morgan wallen;;ALTRE COREO;;;;Gianni Hook Valassi;;
;;480;COUNTRY FRIENDS CRUISE;long live the cowboy;clay walker;;ALTRE COREO;;;;Pino Piromalli;Séverine Fillion;32 conteggi 4 muri
;;481;NEVERLAND;beautiful rose;sean mc connell;;SUPER AVANZATO 1+2;;;;;;64 conteggi restart (al 3° e al 7° muro dopo 24 counts) (al 4° dopo 32° counts) (al 8° muro dopo 48 counts) (al 10° muro tag kick cross + unwind e restart)
;;482;DOUBLE D (DUCK DYNASTY);cut 'em all;colt ford ft. willie robertson;;AVANZATO 2;;;;Trevor Thornton;;32 conteggi 4 muri
;;483;BEYOND TIME;forever and ever amen;randy travis;;ALTRE COREO;;;;Ciccio;;64 conteggi 1 restart
;;484;COUNTRY STYLE;until the money's gone;the bellamy brothers;;ALTRE COREO;;;;Neus Llioveras;;32 conteggi 4 muri
;;485;HOLY MOLY;footloose;blake shelton;;ALTRE COREO;;;;David Villelas;;
;;486;TUSH PUSH;be my baby tonight;jhon michael montgomery;;BASE;CERCHIO;;STUDIATA;Jim Ferrazzano;;40 conteggi 4 muri
;;487;SWEET BOY;yeah boy;kelsea ballerini;;ALTRE COREO;;;;David Villelas;;
;;488;MILESTONE;your love is a miracle;mark chesnutt;;ALTRE COREO;;;;David Villelas;;
;;489;GUTS;authority song;chancey williams;;ALTRE COREO;;;;;;
;;490;OLD BOOTS;this old boots have roots;aaron watson;;ALTRE COREO;;;;Fabio Terzoni;;
;;491;BETTER THAN THIS;better than this;hunter hayes;;ALTRE COREO;;;;Fabio Terzoni;;
;;492;RENEGADES;renegades;x ambassador;;ALTRE COREO;;;;Fabio Terzoni;;
;;493;MEMORY (Ghinolfi Piromalli);every other memory;ryan hurd;;ALTRE COREO;;;;Isabella Ghinolfi;Pino Piromalli;56 conteggi 2 muri
;;494;KICK IT UP;kick it up;the mc clymons;;ALTRE COREO;;;;Isabella Ghinolfi;Sabrina Vecchiato;
;;495;COWBOY;i wanna be your cowboy;coffey anderson;;ALTRE COREO;;;;Isabella Ghinolfi;;
;;496;YOU ARE;you are;aaron goodvin;;ALTRE COREO;;;;Isabella Ghinolfi;;
;;497;DAY OF VICTORY;listen to your senses;slim attraction;;ALTRE COREO;;;;Pol F. Ryan;;
;;498;DELICIOUS;didn't I;dasha;;AVANZATO 2;;;RECENTE;Pol F. Ryan;Sofia Balzano;64 Conteggi No Tag No Restart 2 Muri (Finale con uno stomp all'8° muro dopo 32 conteggi)
;;499;MINDSET;you'll always find your way back home;miley cyrus;;SUPER AVANZATO 1+2;;;STUDIATA;The Smileys;;Coregrafia frasata
;;500;STILL GONE;still gonna be;brandon davies;;AVANZATO 1;;;STUDIATA;Pol F. Ryan;;32 conteggi 2 muri Restart al 3^ 6^ e 7^ muro dopo 16 conteggi
;;501;LIQUOR TALKING;liquor talkin';don luis;;SUPER AVANZATO 1+2;;;STUDIATA;Maddison Glover;;48 conteggi 2 muri restart al 3^ muro dopo 32 conteggi al 5^ muro si ballano solo le ultime 2 ottave.
;;502;BACK TO THE START;back to the start;michael schulte;;ALTRE COREO;;;RECENTE;Hayley Wheatley;;32 conteggi 4 muri 1 restart al 5 muro dopo 16 conteggi
;;503;HOUSE OF BAMBOO (THIS CITY IS OURS);house of mamboo;andy williams;;BASE;;;RECENTE;Maggie Stevenson;;32 conteggi 4 muri
;;504;6 SHOTS;bad decisions;dylan schneider;;ALTRE COREO;;;;Deborah Ricagni;;
;;505;WAVE ON WAVE;wave on wave;pat green;;ALTRE COREO;;;;Alan Birchal;Valery Bourgeois;
;;506;ALL DAY;all day;locash;;ALTRE COREO;;;;Valentina Trigila;;
;;507;4 COWBOY;rough ride for a cowboy;mackenzie porter;;ALTRE COREO;;;;Valentina Trigila;Gianni Hook Valassi;
;;508;SCOOBY DOO;scooby doo ;redneck rockus 2;;ALTRE COREO;;;;Gianni Hook Valassi;;
;;509;LEAVE IT UP;something in your mouth;nickelback;;ALTRE COREO;;;;Fi Scott & Johnny Two Step;;32 conteggi 4 muri
;;510;MY CINDERELLA;cinderella;dan davidson;;AVANZATO 1;;;STUDIATA;David Villelas;;32 conteggi 2 muri 2 restart 1 tag
;;511;CHEYENNE;tutta l'italia;gabry ponte;;BASE;;;STUDIATA;Unknown;;24 conteggi 4 muri
;;512;CHEYENNE;old town road ;lil nas x feat billy ray cyrus;;BASE;;;STUDIATA;Unknown;;24 conteggi 4 muri
;;513;GYPSY WOMAN;gypsy woman;eamonn jackson;;ALTRE COREO;;;STUDIATA;Tessy Josset;;32 conteggi 4 muri 1 restart al 4 muro dopo 16 conteggi
;;514;WILD;where the wild things are;luke combs;;SUPER AVANZATO 3;;;STUDIATA;Isabella Ghinolfi;;32 conteggi 2 muri
;;515;CARRY YOU;carry you home;tim hicks & dyana reid;;SUPER AVANZATO 1+2;;;STUDIATA;David Villelas;;Coregrafia frasata
;;516;TUSH PUSH;i like it i love it;tim mc graw;;BASE;CERCHIO;;STUDIATA;Jim Ferrazzano;;40 conteggi 4 muri
;;517;AARIN'S SPIRIT;spirit in the sky;kentucky headhunters;;ALTRE COREO;;;;Nancy Morgan;;32 conteggi 4 muri
;;518;CHANGING DANCE BARN DANCE;all you ever do is bring me down;the mavericks;;BASE;COPPIA;CERCHIO;STUDIATA;;;(couple and circle)
;;519;CHILL FACTOR;i play chicken with the train;cowboy troy with big & ritch;;INTERMEDIO;;;RECENTE;Daniel Whittaker;Hayley Westhead;48 conteggi 4 muri
;;520;CHILL FACTOR;turn on the radio;reba mcentire;;INTERMEDIO;;;STUDIATA;Rob Fowler;;32 conteggi 4 muri
;;521;EYES ON YOU;eyes on you;trent tomlisson;;ALTRE COREO;;;;;;
;;522;MY MARIA;that girl's got a cowboy heart;todd fritsch;;INTERMEDIO;COPPIA;;STUDIATA;Jgor Pasin;;28 conteggi (couple dance)
;;523;MY MARIA;two black cadillacs;carrie underwood;;INTERMEDIO;COPPIA;;STUDIATA;Jgor Pasin;;28 conteggi (couple dance)
;;524;OH LOVE;oh love;thorstein einarsson;;SUPER AVANZATO 3;;;RECENTE;Johnny Rossato;;32 conteggi tag2 4c 1 restart al 5 muro dopo 16 conteggi
;;525;LOOP;over all over again;james barker band;;SUPER AVANZATO 3;;;STUDIATA;Pol F. Ryan;Aurora Profumo Stefano Ciaccio;32 conteggi 4 muri
;;526;RETRO;i feel it in the wind;smith & thell;;SUPER AVANZATO 3;;;STUDIATA;Gusella Paolo;;32 conteggi 2 muri
;;527;WONT' LET GO;ex's and oh's;saddle up;;SUPER AVANZATO 3;;;STUDIATA;David Villelas;;
;;528;DEAD MAN WALKING;the hangman;war hippies;;ALTRE COREO;;;;Jgor Pasin;;
;;529;DANCE WITH EVERYBODY;dance with everybody;drew holcomb & the neighbors and the national park;;ALTRE COREO;;;;Jgor Pasin;;
;;530;MY MARIA;what the heart want;collin raye;;INTERMEDIO;COPPIA;;STUDIATA;Jgor Pasin;;28 conteggi (couple dance)
;;531;NICE TO MEET YOU;nice to meet you;myles smith feat lainey wilson;;SUPER AVANZATO 3;;;STUDIATA;Gia Caparros;;32 conteggi 2 muri Tag alla fine del 4° muro
;;532;ELECTRIC SLIDE;rumor has it;clay walker;;BASE;;;STUDIATA;Ric Silvern;;14 conteggi 2 muri
;;533;FRESH DELAY;work for it;daphne willis & lonis;;SUPER AVANZATO 3;;;STUDIATA;Sara Sofia Katia Margherita;;
;;534;MAGIC MOMENT;just like magic;casey barnes;;ALTRE COREO;;;;Alex & Rosy;;
;;535;SOMEWHERE IN SEDONA;so far so good;dalton davis;;SUPER AVANZATO 3;;;STUDIATA;Maddison Glover;;64 conteggi 2 muri No tag No Restart
;;536;ELECTRIC SLIDE;no rompas mi corazon;caballo dorado;;BASE;;;STUDIATA;Ric Silvern;;14 conteggi 2 muri
;;537;MY MARIA;choosin' texas;ella langley;;INTERMEDIO;COPPIA;;STUDIATA;Jgor Pasin;;28 conteggi (couple dance)
;;538;SWISS GUY;swiss guy;florian fox;;SUPER AVANZATO 3;;;STUDIATA;Fabian Muller;;48 counts 4 muri 3 Tag [Tag 1 di 17 conteggi al 3^ e al 6^ muro dopo 15 conteggi] [Tag 2 di 4 conteggi all’8^ muro dopo 32 conteggi] [Tag 3 di 33 conteggi al 10^ muro dopo 15 conteggi]
;;539;CASANOVA COWBOY;love runs out;onerepublic;;INTERMEDIO;;;STUDIATA;Rob Fowler;;32 conteggi 4 muri
;;540;BIG BULL FIDDLE;big butch bass bull fiddle;corb lund;;SUPER AVANZATO 3;;;;Arne Stakkestad;;56 conteggi 2 muri
;;541;TEXAS HOLD'EM;texas hold'em;beyoncè;;ALTRE COREO;;;;Laura Jones;;32 conteggi 2 muri
;;542;OPHELIA;ophelia;taylor swift;;ALTRE COREO;;;;Mikyung Lee;;40 conteggi 2 muri
;;543;ELECTRIC STOMP;fast as you;dwight yoakam;;ALTRE COREO;;;;;;24 conteggi 4 muri
;;544;LAKE DARBONNE;lake darbonne;katie knight;;SUPER AVANZATO 3;;;STUDIATA;David Villelas;;32 conteggi 1 restart al 4° muro dopo 16 conteggi
;;545;MAN ON A MISSION;man on a mission;oh the lacerny;;SUPER AVANZATO 3;;;RECENTE;Gary O'Reilly;Guillaume Richard Niels Puolsen;32 conteggi 2 muri [restart al 2° e 5° muro dopo 8 counts] (tag alla fine del 3° muro dopo 8 counts)
;;546;CASANOVA COWBOY;man i feel like a woman;shania twain;;INTERMEDIO;;;STUDIATA;Rob Fowler;;32 conteggi 4 muri
;;547;C A R E;the last chanty;derina harvey band;;SUPER AVANZATO 3;;;RECENTE;Fabian Muller;;32 conteggi 4 muri [3 restart al 2° e al 6° dopo 16 counts al 12° dopo 8 counts] finale si ripete ultima ottava due volte
;;548;I SHOWED YOU THE DOOR;the door;teddy swims;;SUPER AVANZATO 3;;;RECENTE;Ria Vos;;64 conteggi 4 muri (restart al 2° muro dopo 32 counts)
;;549;CHEYENNE;drunken sailor ;malinda feat. bobby waters;;BASE;;;STUDIATA;Unknown;;24 conteggi 4 muri
;;550;THE THING I LOVE;the thing i love;max & andy grammer;;SUPER AVANZATO 3;;;STUDIATA;Johnny Rossato;Daniela Seidel;32 conteggi 4 muri Restar al 3°muro dopo 16 conteggi
;;551;HOT CHOCOLATE;bed dreams;teddy swims;;SUPER AVANZATO 3;;;RECENTE;Sara Sofia Katia Margherita;;32 conteggi 2 muri No Tag e No Restart
;;552;BLUE CHAIRS;two blue chairs & you;zac brown band;;ALTRE COREO;;;;Alessandro Boer;;32 conteggi 4 muri
;;553;MONSTER HOLIDAY;(it's a) monsters holiday;buck owens and the buckaroos;;ALTRE COREO;;;;Gianni Hook Valassi;;64 conteggi 4 muri
;;554;DOODLES;doodles;rose betts;;SUPER AVANZATO 3;;;RECENTE;Aurora Profumo;;Parte A 32 Counts Parte B 68 counts Parte B corta 64 conteggi Sequenza A A B A A Bcorta A B A A B & final
;;555;LOVE POTION 666;love potion 666;djtexx;;ALTRE COREO;;;;Rob Fowler;;32 conteggi 2 muri No tag No restart
;;556;;;;;;;;;;;
;;557;;;;;;;;;;;
;;558;;;;;;;;;;;
;;559;;;;;;;;;;;
;;560;;;;;;;;;;;
;;561;;;;;;;;;;;
;;562;;;;;;;;;;;
;;563;;;;;;;;;;;
;;564;;;;;;;;;;;
;;565;;;;;;;;;;;
;;566;;;;;;;;;;;
;;567;;;;;;;;;;;
;;568;;;;;;;;;;;
;;569;;;;;;;;;;;
;;570;AUDIO VIDEO TESTER;tsunami;dvbbs & borgeus;;;TEST;TEST;;;;
;;571;PROMO MONSTER;ANNO 2023;;;;TEST;TEST;;;;
;;572;;;;;;;;;;;
;;573;;;;;;;;;;;
;;574;;;;;;;;;;;
;;575;;;;;;;;;;;
;;576;;;;;;;;;;;
;;577;;;;;;;;;;;
;;578;;;;;;;;;;;
;;579;;;;;;;;;;;
;;580;;;;;;;;;;;
;;581;;;;;;;;;;;
;;582;;;;;;;;;;;
;;583;;;;;;;;;;;
;;584;;;;;;;;;;;
;;585;;;;;;;;;;;
;;586;;;;;;;;;;;
;;587;;;;;;;;;;;
;;588;;;;;;;;;;;
;;589;;;;;;;;;;;
;;590;;;;;;;;;;;
;;591;;;;;;;;;;;
;;592;;;;;;;;;;;
;;593;;;;;;;;;;;
;;594;;;;;;;;;;;
;;595;;;;;;;;;;;
;;596;;;;;;;;;;;
;;597;;;;;;;;;;;
;;598;;;;;;;;;;;
;;599;;;;;;;;;;;
;;600;;;;;;;;;;;
